"","player_name","club_name","position","position_index","goals_scored","assists","ict_index","goals_conceded","minutes","own_goals","total_points","bps","bonus","clean_sheets","GW","season"
"2680","Abdoulaye Doucouré","Watford FC","Central Midfield",3,0,0,0.1,1,7,0,1,3,0,0,10,"2016/2017"
"2681","Abel Hernández","Hull City","Centre-Forward",5,1,1,31.6,9,573,0,23,41,0,2,10,"2016/2017"
"2682","Adama Diomande","Hull City","Centre-Forward",5,1,0,24.9,9,507,0,20,58,2,2,10,"2016/2017"
"2683","Adama Traoré","Middlesbrough FC","Right Winger",4,0,0,11.1,0,154,0,8,21,0,1,7,"2016/2017"
"2684","Adam Clayton","Middlesbrough FC","Defensive Midfield",3,0,0,10.4,6,504,0,16,64,0,2,10,"2016/2017"
"2685","Adam Forshaw","Middlesbrough FC","Central Midfield",3,0,0,19.1,9,701,0,21,119,0,2,10,"2016/2017"
"2686","Adam Lallana","Liverpool FC","Attacking Midfield",4,3,3,65.4,10,621,0,47,168,5,1,10,"2016/2017"
"2687","Adam Smith","AFC Bournemouth","Right-Back",2,1,2,36.6,12,810,0,38,205,3,3,10,"2016/2017"
"2688","Adlène Guédioura","Watford FC","Central Midfield",3,0,1,11.4,6,229,0,9,42,0,0,10,"2016/2017"
"2689","Adnan Januzaj","Manchester United","Right Winger",4,0,0,31.9,10,471,0,9,42,0,0,10,"2016/2017"
"2690","Ahmed Elmohamady","Hull City","Right-Back",2,0,0,18.5,20,658,0,15,110,0,1,10,"2016/2017"
"2691","Ahmed Musa","Leicester City","Centre-Forward",5,1,0,19.4,7,301,0,23,50,2,1,10,"2016/2017"
"2692","Aiden O'Neill","Burnley FC","Central Midfield",3,0,0,2.1,4,85,0,3,16,0,0,9,"2016/2017"
"2693","Alberto Moreno","Liverpool FC","Left-Back",2,0,0,3,3,110,0,8,15,0,0,10,"2016/2017"
"2694","Albert Adomah","Middlesbrough FC","Right Winger",4,0,0,6,2,122,0,3,6,0,0,10,"2016/2017"
"2695","Aleksandar Kolarov","Manchester City","Left-Back",2,0,0,28.6,7,662,1,18,104,0,1,10,"2016/2017"
"2696","Alexis Sánchez","Arsenal FC","Left Winger",4,4,4,103.5,8,728,0,70,171,6,4,10,"2016/2017"
"2697","Alex Iwobi","Arsenal FC","Left Winger",4,0,3,41.4,5,421,0,28,103,2,4,10,"2016/2017"
"2698","Alex Oxlade-Chamberlain","Arsenal FC","Central Midfield",3,1,0,25.1,3,285,0,21,75,0,1,10,"2016/2017"
"2699","Alfie Mawson","Swansea City","Centre-Back",2,0,0,1.9,0,90,0,6,30,1,1,7,"2016/2017"
"2700","Ander Herrera","Manchester United","Central Midfield",3,0,0,25.9,7,497,0,11,102,0,1,10,"2016/2017"
"2701","Andrew Robertson","Hull City","Left-Back",2,0,0,18.3,17,692,0,13,115,1,1,10,"2016/2017"
"2702","Andrew Surman","AFC Bournemouth","Central Midfield",3,0,0,23.3,12,720,0,19,124,0,2,10,"2016/2017"
"2703","Andre Gray","Burnley FC","Centre-Forward",5,1,1,16.9,7,427,0,19,30,1,2,10,"2016/2017"
"2704","Andros Townsend","Crystal Palace","Right Winger",4,1,1,64.6,10,771,0,29,126,3,1,10,"2016/2017"
"2705","André Ayew","West Ham United","Left Winger",4,0,0,0.5,0,34,0,2,5,0,0,10,"2016/2017"
"2706","Andy Carroll","West Ham United","Centre-Forward",5,0,0,3.2,2,90,0,2,7,0,0,10,"2016/2017"
"2707","Andy King","Leicester City","Central Midfield",3,0,0,10.8,4,265,0,10,37,0,0,10,"2016/2017"
"2708","Angelo Ogbonna","West Ham United","Centre-Back",2,0,0,17.4,11,540,0,18,111,2,2,10,"2016/2017"
"2709","Anthony Martial","Manchester United","Left Winger",4,1,2,29.6,4,321,0,24,70,3,1,10,"2016/2017"
"2710","Antonio Barragán","Middlesbrough FC","Right-Back",2,0,0,26.9,11,788,0,30,158,3,2,10,"2016/2017"
"2711","Antonio Valencia","Manchester United","Right-Back",2,0,0,43,10,781,0,30,184,4,3,10,"2016/2017"
"2712","Arouna Koné","Everton FC","Centre-Forward",5,0,0,4.6,0,46,0,3,9,0,0,10,"2016/2017"
"2713","Arthur Masuaku","West Ham United","Left-Back",2,0,1,16.4,13,436,0,11,107,1,1,10,"2016/2017"
"2714","Artur Boruc","AFC Bournemouth","Goalkeeper",1,0,0,23.1,12,810,0,39,188,1,3,10,"2016/2017"
"2715","Ashley Fletcher","West Ham United","Centre-Forward",5,0,0,6.1,4,156,0,6,5,0,0,9,"2016/2017"
"2716","Ashley Williams","Everton FC","Centre-Back",2,0,0,30.7,6,640,0,28,137,0,2,10,"2016/2017"
"2717","Ashley Young","Manchester United","Left-Back",2,0,0,4.8,2,147,0,4,15,0,1,10,"2016/2017"
"2718","Bacary Sagna","Manchester City","Right-Back",2,0,1,8.6,3,347,0,14,73,0,1,10,"2016/2017"
"2719","Benik Afobe","AFC Bournemouth","Centre-Forward",5,0,0,2.4,0,39,0,6,12,0,0,10,"2016/2017"
"2720","Ben Davies","Tottenham Hotspur","Left-Back",2,0,0,15.9,2,284,0,10,56,0,1,10,"2016/2017"
"2721","Ben Foster","West Bromwich Albion","Goalkeeper",1,0,0,24.4,10,810,0,34,172,3,2,10,"2016/2017"
"2722","Ben Gibson","Middlesbrough FC","Centre-Back",2,1,0,27.1,11,810,0,40,174,5,2,10,"2016/2017"
"2723","Ben Mee","Burnley FC","Centre-Back",2,0,1,28.9,13,810,1,29,157,0,2,10,"2016/2017"
"2724","Billy Jones","Sunderland AFC","Right-Back",2,0,0,2.2,2,56,0,0,2,0,0,10,"2016/2017"
"2725","Bojan Krkic","Stoke City","Second Striker",5,1,0,14.4,8,271,0,12,47,0,0,10,"2016/2017"
"2726","Borja Bastón","Swansea City","Centre-Forward",5,1,1,11.7,2,232,0,16,43,1,1,10,"2016/2017"
"2727","Branislav Ivanovic","Chelsea FC","Centre-Back",2,0,1,28.4,9,540,0,17,117,2,1,10,"2016/2017"
"2728","Brendan Galloway","Everton FC","Left-Back",2,0,0,7.5,3,247,0,9,44,0,1,10,"2016/2017"
"2729","Bruno Martins Indi","Stoke City","Centre-Back",2,0,0,16,10,540,0,20,115,2,2,7,"2016/2017"
"2730","Bryan Oviedo","Everton FC","Left-Back",2,0,0,8.8,5,350,0,8,51,0,0,10,"2016/2017"
"2731","Callum Wilson","AFC Bournemouth","Centre-Forward",5,3,1,48.6,8,690,0,35,90,2,5,10,"2016/2017"
"2732","Calum Chambers","Arsenal FC","Centre-Back",2,1,0,16.2,8,360,0,16,77,0,0,10,"2016/2017"
"2733","Cesc Fàbregas","Chelsea FC","Central Midfield",3,0,1,14.2,3,89,0,7,41,0,0,10,"2016/2017"
"2734","Charlie Adam","Stoke City","Central Midfield",3,0,0,3.6,1,51,0,3,-4,0,0,10,"2016/2017"
"2735","Charlie Austin","Southampton FC","Centre-Forward",5,4,1,49.6,1,449,0,40,133,6,4,10,"2016/2017"
"2736","Charlie Daniels","AFC Bournemouth","Left-Back",2,1,1,41.6,12,810,0,39,185,4,3,10,"2016/2017"
"2737","Cheikhou Kouyaté","West Ham United","Defensive Midfield",3,0,0,23.2,17,810,0,22,113,0,3,10,"2016/2017"
"2738","Christian Benteke","Crystal Palace","Centre-Forward",5,3,0,57.3,10,623,0,26,63,2,0,10,"2016/2017"
"2739","Christian Eriksen","Tottenham Hotspur","Attacking Midfield",4,0,3,68.1,4,683,0,33,116,2,4,10,"2016/2017"
"2740","Christian Fuchs","Leicester City","Left-Back",2,1,1,43.8,15,810,0,37,211,3,3,10,"2016/2017"
"2741","Christian Kabasele","Watford FC","Centre-Back",2,0,0,1.5,3,57,0,2,9,0,0,10,"2016/2017"
"2742","Chris Brunt","West Bromwich Albion","Left Midfield",3,0,0,2.5,1,67,0,2,10,0,0,10,"2016/2017"
"2743","Chris Smalling","Manchester United","Centre-Back",2,1,0,16.8,9,453,0,19,105,0,1,10,"2016/2017"
"2744","Chung-yong Lee","Crystal Palace","Attacking Midfield",4,0,1,18.9,2,212,0,17,67,0,2,10,"2016/2017"
"2745","Claudio Bravo","Manchester City","Goalkeeper",1,0,0,13.2,6,540,0,32,120,3,1,8,"2016/2017"
"2746","Claudio Yacob","West Bromwich Albion","Defensive Midfield",3,0,0,17.5,10,743,0,14,89,0,2,10,"2016/2017"
"2747","Connor Wickham","Crystal Palace","Centre-Forward",5,0,0,11.1,3,284,0,8,11,0,0,10,"2016/2017"
"2748","Craig Cathcart","Watford FC","Centre-Back",2,0,0,10.9,7,405,0,6,51,0,0,10,"2016/2017"
"2749","Craig Dawson","West Bromwich Albion","Centre-Back",2,0,0,31.4,10,810,0,20,121,1,2,10,"2016/2017"
"2750","Craig Gardner","West Bromwich Albion","Central Midfield",3,0,1,14.7,5,188,0,12,47,0,1,10,"2016/2017"
"2751","Cristhian Stuani","Middlesbrough FC","Centre-Forward",5,3,0,30.2,7,509,0,27,117,4,1,10,"2016/2017"
"2752","Cuco Martina","Southampton FC","Right-Back",2,0,0,6.9,2,256,0,13,47,0,1,10,"2016/2017"
"2753","Curtis Davies","Hull City","Centre-Back",2,0,1,39.7,22,810,0,20,180,3,1,10,"2016/2017"
"2754","Cédric Soares","Southampton FC","Right-Back",2,0,0,30.2,6,552,0,24,131,5,2,10,"2016/2017"
"2755","César Azpilicueta","Chelsea FC","Right-Back",2,0,1,32.8,9,810,0,45,207,5,4,10,"2016/2017"
"2756","Daley Blind","Manchester United","Centre-Back",2,0,2,40.8,9,720,0,46,216,7,3,10,"2016/2017"
"2757","Damien Delaney","Crystal Palace","Centre-Back",2,0,0,23,11,756,0,18,124,0,1,10,"2016/2017"
"2758","Daniel Amartey","Leicester City","Defensive Midfield",3,0,1,17.8,12,567,0,18,89,0,2,10,"2016/2017"
"2759","Daniel Ayala","Middlesbrough FC","Centre-Back",2,1,0,19.4,5,390,0,20,91,0,2,10,"2016/2017"
"2760","Daniel Sturridge","Liverpool FC","Centre-Forward",5,0,2,25.4,3,347,0,15,35,0,1,10,"2016/2017"
"2761","Danny Rose","Tottenham Hotspur","Left-Back",2,1,1,24,2,450,0,32,109,3,3,10,"2016/2017"
"2762","Danny Simpson","Leicester City","Right-Back",2,0,0,16.5,10,655,0,22,121,1,3,10,"2016/2017"
"2763","Dan Gosling","AFC Bournemouth","Central Midfield",3,1,0,12.7,1,211,0,15,49,0,1,10,"2016/2017"
"2764","Darren Fletcher","West Bromwich Albion","Central Midfield",3,0,0,16.4,9,791,0,22,82,0,3,10,"2016/2017"
"2765","Daryl Janmaat","Watford FC","Right-Back",2,0,1,9.3,2,179,0,7,45,0,0,8,"2016/2017"
"2766","David de Gea","Manchester United","Goalkeeper",1,0,0,16.1,12,810,0,36,147,1,3,10,"2016/2017"
"2767","David Jones","Burnley FC","Central Midfield",3,0,0,1.3,1,86,0,1,8,0,0,10,"2016/2017"
"2768","David Marshall","Hull City","Goalkeeper",1,0,0,12.9,15,360,0,9,77,0,0,7,"2016/2017"
"2769","David Meyler","Hull City","Central Midfield",3,1,0,27.7,16,647,0,21,121,0,1,10,"2016/2017"
"2770","David Nugent","Middlesbrough FC","Centre-Forward",5,0,0,0.7,0,43,0,4,11,0,0,10,"2016/2017"
"2771","David Silva","Manchester City","Attacking Midfield",4,0,2,76.4,8,693,0,27,148,2,1,10,"2016/2017"
"2772","Dean Marney","Burnley FC","Central Midfield",3,0,1,17.8,12,791,0,25,112,1,2,10,"2016/2017"
"2773","Dejan Lovren","Liverpool FC","Centre-Back",2,1,0,29.1,9,630,0,29,122,2,1,10,"2016/2017"
"2774","Demarai Gray","Leicester City","Left Winger",4,1,1,11.7,3,153,0,14,49,0,0,10,"2016/2017"
"2775","Didier Ndong","Sunderland AFC","Central Midfield",3,0,0,11.8,8,468,0,10,66,0,0,7,"2016/2017"
"2776","Dieumerci Mbokani","Hull City","Centre-Forward",5,0,1,2.2,4,104,0,6,18,0,0,7,"2016/2017"
"2777","Dimitri Payet","West Ham United","Attacking Midfield",4,1,5,90.4,13,551,0,43,167,7,2,10,"2016/2017"
"2778","Divock Origi","Liverpool FC","Centre-Forward",5,0,0,10.1,2,110,0,8,16,0,0,10,"2016/2017"
"2779","Donald Love","Sunderland AFC","Right-Back",2,0,0,6.1,5,194,0,2,31,0,0,10,"2016/2017"
"2780","Duncan Watmore","Sunderland AFC","Right Winger",4,0,2,26.4,13,600,0,27,62,0,1,10,"2016/2017"
"2781","Dusan Tadic","Southampton FC","Left Winger",4,1,2,90.5,6,713,0,34,116,0,4,10,"2016/2017"
"2782","Eden Hazard","Chelsea FC","Left Winger",4,4,1,83.1,9,742,0,63,190,6,4,10,"2016/2017"
"2783","Edimilson Fernandes","West Ham United","Central Midfield",3,0,0,7.1,1,112,0,6,18,0,1,8,"2016/2017"
"2784","Eldin Jakupovic","Hull City","Goalkeeper",1,0,0,16.3,7,450,0,23,114,0,1,10,"2016/2017"
"2785","Emre Can","Liverpool FC","Defensive Midfield",3,0,0,15.3,2,224,0,14,24,0,1,10,"2016/2017"
"2786","Enner Valencia","Everton FC","Centre-Forward",5,0,1,14.7,4,247,0,11,17,0,1,10,"2016/2017"
"2787","Eric Bailly","Manchester United","Centre-Back",2,0,0,22.8,10,771,0,30,191,7,3,10,"2016/2017"
"2788","Eric Dier","Tottenham Hotspur","Defensive Midfield",3,0,0,17.3,3,541,0,18,71,0,4,10,"2016/2017"
"2789","Erik Lamela","Tottenham Hotspur","Right Winger",4,1,1,62.2,2,595,0,28,93,4,4,10,"2016/2017"
"2790","Erik Pieters","Stoke City","Left-Back",2,0,0,22.4,12,720,0,22,128,2,2,10,"2016/2017"
"2791","Fabian Delph","Manchester City","Central Midfield",3,0,0,0.6,1,30,0,2,4,0,0,10,"2016/2017"
"2792","Fabio Borini","Sunderland AFC","Left Winger",4,0,0,3.5,2,153,0,4,11,0,1,10,"2016/2017"
"2793","Federico Fernández","Swansea City","Centre-Back",2,0,0,17.2,10,540,0,9,84,0,1,10,"2016/2017"
"2794","Fernando Francisco Reges","Manchester City","Defensive Midfield",3,0,0,2.9,2,116,0,6,22,0,0,10,"2016/2017"
"2795","Fernando Llorente","Swansea City","Centre-Forward",5,1,1,48.2,10,563,0,23,54,1,1,10,"2016/2017"
"2796","Fernando Luiz Rosa","Manchester City","Defensive Midfield",3,1,0,39.7,9,810,0,26,146,2,1,10,"2016/2017"
"2797","Fraizer Campbell","Crystal Palace","Centre-Forward",5,0,0,1.2,1,19,0,2,1,0,0,10,"2016/2017"
"2798","Francis Coquelin","Arsenal FC","Defensive Midfield",3,0,0,17.9,6,504,0,14,61,0,2,10,"2016/2017"
"2799","Fraser Forster","Southampton FC","Goalkeeper",1,0,0,9.2,8,810,0,30,123,0,3,10,"2016/2017"
"2800","Gareth Barry","Everton FC","Defensive Midfield",3,2,0,45.8,8,768,0,31,136,3,2,10,"2016/2017"
"2801","Gareth McAuley","West Bromwich Albion","Centre-Back",2,2,0,41.4,10,810,0,37,153,2,2,10,"2016/2017"
"2802","Gary Cahill","Chelsea FC","Centre-Back",2,1,0,32.1,9,810,0,44,181,2,4,10,"2016/2017"
"2803","Gastón Ramírez","Middlesbrough FC","Attacking Midfield",4,0,1,37.6,7,595,0,25,67,0,2,10,"2016/2017"
"2804","Gaël Clichy","Manchester City","Left-Back",2,0,0,11.2,3,349,0,12,79,0,1,10,"2016/2017"
"2805","Geoff Cameron","Stoke City","Defensive Midfield",3,0,0,26.8,11,630,0,20,126,2,2,10,"2016/2017"
"2806","George Boyd","Burnley FC","Midfielder",3,0,0,23.9,12,710,0,19,84,0,2,10,"2016/2017"
"2807","George Friend","Middlesbrough FC","Left-Back",2,0,1,32.5,11,720,0,28,144,2,1,10,"2016/2017"
"2808","Georginio Wijnaldum","Liverpool FC","Central Midfield",3,0,2,42.9,11,617,0,22,119,0,0,10,"2016/2017"
"2809","Gerard Deulofeu","Everton FC","Right Winger",4,0,0,20.4,3,293,0,9,31,0,0,10,"2016/2017"
"2810","Giannelli Imbula","Stoke City","Defensive Midfield",3,0,0,7.3,8,308,0,9,50,1,0,10,"2016/2017"
"2811","Glenn Whelan","Stoke City","Defensive Midfield",3,0,0,31.4,15,786,0,21,123,1,2,10,"2016/2017"
"2812","Glen Johnson","Stoke City","Right-Back",2,0,0,10.6,6,270,0,4,36,0,0,10,"2016/2017"
"2813","Granit Xhaka","Arsenal FC","Defensive Midfield",3,1,0,20.9,4,408,0,14,81,0,2,10,"2016/2017"
"2814","Gylfi Sigurdsson","Swansea City","Attacking Midfield",4,2,1,60.9,15,717,0,38,123,4,1,10,"2016/2017"
"2815","Gökhan Töre","West Ham United","Right Winger",4,0,1,14.6,4,240,0,10,29,0,1,10,"2016/2017"
"2816","Hal Robson-Kanu","West Bromwich Albion","Left Winger",4,0,1,8.8,0,45,0,8,30,0,0,7,"2016/2017"
"2817","Harry Arter","AFC Bournemouth","Central Midfield",3,0,2,30.3,12,796,0,28,149,2,3,10,"2016/2017"
"2818","Harry Kane","Tottenham Hotspur","Centre-Forward",5,2,1,44.1,2,419,0,24,92,3,3,10,"2016/2017"
"2819","Harry Maguire","Hull City","Centre-Back",2,0,1,10.5,12,215,0,6,63,0,0,10,"2016/2017"
"2820","Harry Winks","Tottenham Hotspur","Central Midfield",3,0,0,0.1,0,6,0,3,6,0,0,10,"2016/2017"
"2821","Henrikh Mkhitaryan","Manchester United","Attacking Midfield",4,0,0,10.3,2,107,0,4,8,0,0,10,"2016/2017"
"2822","Heurelho Gomes","Watford FC","Goalkeeper",1,0,0,17.5,13,810,0,35,163,4,2,10,"2016/2017"
"2823","Hugo Lloris","Tottenham Hotspur","Goalkeeper",1,0,0,15.3,3,574,0,36,149,1,4,10,"2016/2017"
"2824","Héctor Bellerín","Arsenal FC","Right-Back",2,0,2,42.8,9,810,0,45,190,6,4,10,"2016/2017"
"2825","Idrissa Gueye","Everton FC","Central Midfield",3,0,1,36.9,7,792,0,22,174,1,2,10,"2016/2017"
"2826","Ilkay Gündogan","Manchester City","Central Midfield",3,1,0,29.5,3,355,0,33,81,0,1,10,"2016/2017"
"2827","Isaac Success","Watford FC","Left Winger",4,1,0,21.7,1,191,0,12,39,0,1,10,"2016/2017"
"2828","Islam Slimani","Leicester City","Centre-Forward",5,2,1,30.6,5,355,0,23,73,3,3,7,"2016/2017"
"2829","Jack Cork","Swansea City","Defensive Midfield",3,0,0,24.1,14,668,0,17,122,0,1,10,"2016/2017"
"2830","Jack Rodwell","Sunderland AFC","Defensive Midfield",3,0,1,15.1,11,549,0,17,79,1,0,10,"2016/2017"
"2831","Jack Wilshere","Arsenal FC","Central Midfield",3,0,0,21.7,7,450,0,15,38,0,2,10,"2016/2017"
"2832","Jake Livermore","Hull City","Defensive Midfield",3,0,1,29.2,22,759,0,19,133,0,1,10,"2016/2017"
"2833","James Collins","West Ham United","Centre-Back",2,1,0,28.1,14,540,0,17,114,2,1,10,"2016/2017"
"2834","James McArthur","Crystal Palace","Central Midfield",3,2,1,33.7,10,572,0,45,117,4,0,10,"2016/2017"
"2835","James McCarthy","Everton FC","Central Midfield",3,0,0,4,3,161,0,4,22,0,0,10,"2016/2017"
"2836","James McClean","West Bromwich Albion","Left Winger",4,1,2,41.9,6,502,0,26,96,1,2,10,"2016/2017"
"2837","James Milner","Liverpool FC","Central Midfield",3,4,1,62.4,8,701,0,48,217,9,1,10,"2016/2017"
"2838","James Morrison","West Bromwich Albion","Central Midfield",3,0,0,4.4,0,75,0,4,14,0,0,10,"2016/2017"
"2839","James Tarkowski","Burnley FC","Centre-Back",2,0,0,0.8,1,36,0,1,1,0,0,10,"2016/2017"
"2840","James Tomkins","Crystal Palace","Centre-Back",2,1,0,19.4,8,414,0,13,71,0,0,10,"2016/2017"
"2841","James Ward-Prowse","Southampton FC","Central Midfield",3,1,1,19.1,2,104,0,15,60,0,0,10,"2016/2017"
"2842","Jamie Vardy","Leicester City","Centre-Forward",5,2,1,45,15,666,0,34,103,3,3,10,"2016/2017"
"2843","Jan Kirchhoff","Sunderland AFC","Defensive Midfield",3,0,0,7.7,8,298,0,6,38,0,0,10,"2016/2017"
"2844","Jan Vertonghen","Tottenham Hotspur","Centre-Back",2,0,0,25.7,4,810,0,38,200,2,5,10,"2016/2017"
"2845","Jason Denayer","Manchester City","Centre-Back",2,0,0,4.8,2,195,0,4,32,0,0,10,"2016/2017"
"2846","Jason Puncheon","Crystal Palace","Attacking Midfield",4,0,3,67.2,9,706,0,27,164,4,0,10,"2016/2017"
"2847","Javier Manquillo","Sunderland AFC","Right-Back",2,0,0,16.6,12,630,0,10,61,0,0,8,"2016/2017"
"2848","Jay Fulton","Swansea City","Central Midfield",3,0,0,2.4,1,19,0,1,4,0,0,10,"2016/2017"
"2849","Jefferson Montero","Swansea City","Left Winger",4,0,0,14.4,2,120,0,4,30,0,0,10,"2016/2017"
"2850","Jeffrey Schlupp","Crystal Palace","Left Midfield",3,0,0,4.5,2,95,0,3,14,0,0,10,"2016/2017"
"2851","Jeff Hendrick","Burnley FC","Central Midfield",3,1,0,15.3,9,466,0,19,58,0,1,7,"2016/2017"
"2852","Jeremain Lens","Sunderland AFC","Right Winger",4,0,0,9.7,1,69,0,2,12,0,0,10,"2016/2017"
"2853","Jermain Defoe","Sunderland AFC","Centre-Forward",5,4,0,54.9,15,802,0,49,109,8,0,10,"2016/2017"
"2854","Jesse Lingard","Manchester United","Right Winger",4,0,1,25.9,6,252,0,14,46,0,1,10,"2016/2017"
"2855","Jesús Navas","Manchester City","Right-Back",2,0,1,15.9,4,187,0,11,36,0,0,10,"2016/2017"
"2856","Joel Asoro","Sunderland AFC","Centre-Forward",5,0,0,0.2,0,10,0,1,3,0,0,10,"2016/2017"
"2857","Joel Matip","Liverpool FC","Centre-Back",2,0,0,25.8,6,630,0,25,120,1,1,10,"2016/2017"
"2858","Joel Ward","Crystal Palace","Right-Back",2,0,1,33.1,12,807,0,21,140,3,0,10,"2016/2017"
"2859","Joe Allen","Stoke City","Central Midfield",3,4,0,69.4,14,712,0,55,196,7,3,10,"2016/2017"
"2860","Joe Ledley","Crystal Palace","Central Midfield",3,1,0,14.9,7,501,0,21,95,1,1,10,"2016/2017"
"2861","Johann Berg Gudmundsson","Burnley FC","Right Winger",4,0,1,29.6,8,533,0,22,78,0,2,10,"2016/2017"
"2862","John O'Shea","Sunderland AFC","Centre-Back",2,0,0,8.3,7,396,0,9,60,1,0,10,"2016/2017"
"2863","John Stones","Manchester City","Centre-Back",2,0,0,20,9,727,0,21,134,0,0,10,"2016/2017"
"2864","John Terry","Chelsea FC","Centre-Back",2,0,0,13.3,4,360,0,10,64,0,1,10,"2016/2017"
"2865","Jonas Olsson","West Bromwich Albion","Centre-Back",2,0,0,4.4,4,270,0,6,38,0,1,10,"2016/2017"
"2866","Jonathan Benteke","Crystal Palace","Centre-Forward",5,0,0,1.4,0,7,0,1,3,0,0,7,"2016/2017"
"2867","Jonathan Calleri","West Ham United","Centre-Forward",5,0,0,8.4,2,135,0,6,8,0,0,9,"2016/2017"
"2868","Jonathan Leko","West Bromwich Albion","Right Winger",4,0,1,4,0,46,0,8,20,0,0,10,"2016/2017"
"2869","Jonathan Walters","Stoke City","Right Winger",4,0,1,9.4,10,276,0,13,32,0,0,10,"2016/2017"
"2870","Jonny Evans","West Bromwich Albion","Centre-Back",2,0,0,16.4,8,720,0,19,112,2,2,10,"2016/2017"
"2871","Jon Flanagan","Liverpool FC","Right-Back",2,0,0,0.5,0,8,0,1,5,0,0,10,"2016/2017"
"2872","Jordan Henderson","Liverpool FC","Central Midfield",3,1,1,43.9,11,793,0,33,174,4,1,10,"2016/2017"
"2873","Jordan Pickford","Sunderland AFC","Goalkeeper",1,0,0,21.9,12,630,0,23,133,2,0,10,"2016/2017"
"2874","Jordan Rhodes","Middlesbrough FC","Centre-Forward",5,0,0,9.2,1,102,0,5,9,0,0,10,"2016/2017"
"2875","Jordi Amat","Swansea City","Centre-Back",2,0,0,27.6,15,720,0,11,126,0,1,10,"2016/2017"
"2876","Jordon Ibe","AFC Bournemouth","Right Winger",4,0,0,37.9,7,561,0,19,66,0,3,10,"2016/2017"
"2877","Jordon Mutch","Crystal Palace","Central Midfield",3,0,0,1.8,1,9,0,1,7,0,0,10,"2016/2017"
"2878","Jordy Clasie","Southampton FC","Defensive Midfield",3,0,0,8.7,5,352,0,10,38,0,0,10,"2016/2017"
"2879","Joshua King","AFC Bournemouth","Second Striker",5,2,1,40.6,10,578,0,33,110,2,2,10,"2016/2017"
"2880","José Holebas","Watford FC","Left-Back",2,2,1,44.7,13,809,0,43,151,5,2,10,"2016/2017"
"2881","Juan Mata","Manchester United","Attacking Midfield",4,2,1,42.8,6,445,0,34,135,3,3,10,"2016/2017"
"2882","Junior Stanislas","AFC Bournemouth","Left Winger",4,3,3,40.4,7,416,0,41,134,6,2,10,"2016/2017"
"2883","Jérémy Pied","Southampton FC","Right-Back",2,0,0,3.4,0,12,0,1,2,0,0,10,"2016/2017"
"2884","Kasper Schmeichel","Leicester City","Goalkeeper",1,0,0,20.3,10,596,0,30,143,3,2,10,"2016/2017"
"2885","Kelechi Iheanacho","Manchester City","Centre-Forward",5,3,3,64.2,1,287,0,35,130,6,1,10,"2016/2017"
"2886","Kevin De Bruyne","Manchester City","Attacking Midfield",4,2,6,86.2,7,645,0,54,206,9,1,10,"2016/2017"
"2887","Kevin Mirallas","Everton FC","Right Winger",4,1,2,51,5,540,0,32,99,1,2,10,"2016/2017"
"2888","Kevin Stewart","Liverpool FC","Defensive Midfield",3,0,0,0.4,0,20,0,4,12,0,0,10,"2016/2017"
"2889","Kieran Gibbs","Arsenal FC","Left-Back",2,0,0,4.8,0,47,0,7,16,0,0,10,"2016/2017"
"2890","Kyle Naughton","Swansea City","Right-Back",2,0,0,52.4,15,810,0,23,175,3,2,10,"2016/2017"
"2891","Kyle Walker","Tottenham Hotspur","Right-Back",2,0,2,33.3,3,747,0,51,211,7,5,10,"2016/2017"
"2892","Lamine Koné","Sunderland AFC","Centre-Back",2,0,0,23.8,12,630,0,11,93,0,0,10,"2016/2017"
"2893","Laurent Koscielny","Arsenal FC","Centre-Back",2,2,0,34.8,5,720,0,53,225,8,4,10,"2016/2017"
"2894","Lee Cattermole","Sunderland AFC","Defensive Midfield",3,0,0,2.6,3,175,0,3,17,0,0,10,"2016/2017"
"2895","Lee Grant","Stoke City","Goalkeeper",1,0,0,9.6,2,360,0,22,85,1,2,7,"2016/2017"
"2896","Leighton Baines","Everton FC","Left-Back",2,0,1,22.3,3,450,0,21,108,2,2,10,"2016/2017"
"2897","Leonardo Ulloa","Leicester City","Centre-Forward",5,0,0,2,2,82,0,6,10,0,0,10,"2016/2017"
"2898","Leon Britton","Swansea City","Central Midfield",3,0,0,6.5,7,348,0,7,47,0,1,10,"2016/2017"
"2899","Leroy Fer","Swansea City","Central Midfield",3,4,0,49.3,12,678,0,41,151,3,2,10,"2016/2017"
"2900","Leroy Sané","Manchester City","Left Winger",4,0,1,16.4,2,213,0,12,52,2,0,10,"2016/2017"
"2901","Lewis Cook","AFC Bournemouth","Central Midfield",3,0,0,2.5,3,80,0,2,10,0,0,10,"2016/2017"
"2902","Lewis Grabban","AFC Bournemouth","Centre-Forward",5,0,1,5.3,2,60,0,6,17,0,0,10,"2016/2017"
"2903","Loris Karius","Liverpool FC","Goalkeeper",1,0,0,3,3,360,0,14,50,0,1,10,"2016/2017"
"2904","Lucas Pérez","Arsenal FC","Centre-Forward",5,0,0,6.3,1,88,0,4,15,0,0,7,"2016/2017"
"2905","Luis Hernández","Leicester City","Centre-Back",2,0,0,11,7,237,0,2,41,0,0,10,"2016/2017"
"2906","Lukasz Fabianski","Swansea City","Goalkeeper",1,0,0,21.5,15,810,0,36,183,4,2,10,"2016/2017"
